排名,英雄,位置,出场率,被禁率,胜率,KDA
1,虚空之女,ADC,54.5 % ，162 场,40.7 %，121 场,58.0 %，94 场,"4.4 KDA
5.2 / 2.2 / 4.4"
2,牛头酋长,辅助,51.2 % ，152 场,26.9 %，80 场,51.3 %，78 场,"3.0 KDA
0.8 / 3.1 / 8.6"
3,迷失之牙,上单,41.1 % ，122 场,42.8 %，127 场,53.3 %，65 场,"2.8 KDA
2.0 / 2.6 / 5.3"
4,兽灵行者,打野,40.4 % ，120 场,22.6 %，67 场,45.0 %，54 场,"3.9 KDA
2.4 / 2.2 / 6.2"
5,发条魔灵,中单,37.0 % ，110 场,31.0 %，92 场,56.4 %，62 场,"5.4 KDA
3.0 / 1.9 / 7.2"
6,狂战士,打野,35.0 % ，104 场,37.7 %，112 场,48.1 %，50 场,"3.2 KDA
3.2 / 2.5 / 4.8"
7,镕铁少女,辅助,34.7 % ，103 场,23.2 %，69 场,58.3 %，60 场,"2.7 KDA
0.7 / 3.5 / 8.6"
8,含羞蓓蕾,打野,29.6 % ，88 场,26.6 %，79 场,51.1 %，45 场,"3.7 KDA
3.1 / 2.6 / 6.6"
9,曙光女神,辅助,27.6 % ，82 场,15.5 %，46 场,50.0 %，41 场,"2.4 KDA
0.7 / 3.4 / 7.5"
10,麦林炮手,ADC,27.3 % ，81 场,20.5 %，61 场,54.3 %，44 场,"3.8 KDA
4.0 / 2.2 / 4.4"
11,沙漠皇帝,中单,27.3 % ，81 场,22.9 %，68 场,51.9 %，42 场,"3.5 KDA
2.5 / 2.2 / 5.3"
12,荒漠屠夫,上单,27.3 % ，81 场,55.9 %，166 场,48.1 %，39 场,"2.9 KDA
2.1 / 2.6 / 5.5"
13,逆羽,ADC,26.3 % ，78 场,11.8 %，35 场,57.7 %，45 场,"4.6 KDA
4.2 / 2.1 / 5.4"
14,魂锁典狱长,辅助,23.9 % ，71 场,37.7 %，112 场,49.3 %，35 场,"2.8 KDA
0.5 / 3.2 / 8.4"
15,战争之影,打野,22.9 % ，68 场,15.2 %，45 场,54.4 %，37 场,"4.0 KDA
3.2 / 2.8 / 8.0"
16,法外狂徒,打野,21.9 % ，65 场,8.4 %，25 场,29.2 %，19 场,"3.2 KDA
3.4 / 2.5 / 4.5"
17,暮光星灵,中单,20.9 % ，62 场,56.2 %，167 场,45.2 %，28 场,"4.5 KDA
3.3 / 1.9 / 5.2"
18,沙漠玫瑰,ADC,19.9 % ，59 场,26.9 %，80 场,37.3 %，22 场,"3.1 KDA
4.2 / 2.6 / 3.8"
19,未来守护者,上单,19.9 % ，59 场,26.3 %，78 场,59.3 %，35 场,"2.8 KDA
3.0 / 3.0 / 5.5"
20,暗黑元首,中单,19.5 % ，58 场,22.2 %，66 场,31.0 %，18 场,"2.5 KDA
2.4 / 2.6 / 4.2"
21,残月之肃,ADC,18.2 % ，54 场,16.2 %，48 场,48.1 %，26 场,"3.1 KDA
3.6 / 2.7 / 4.9"
22,暗裔剑魔,上单,17.2 % ，51 场,14.5 %，43 场,43.1 %，22 场,"2.8 KDA
2.3 / 2.4 / 4.4"
23,机械先驱,中单,16.2 % ，48 场,5.7 %，17 场,50.0 %，24 场,"3.3 KDA
2.9 / 2.6 / 5.8"
24,酒桶,上单,15.8 % ，47 场,32.0 %，95 场,57.4 %，27 场,"3.0 KDA
1.5 / 2.5 / 6.1"
25,正义巨像,辅助,8.8 % ，26 场,7.4 %，22 场,46.2 %，12 场,"2.6 KDA
0.9 / 3.6 / 8.3"
26,海洋之灾,上单,8.8 % ，26 场,7.7 %，23 场,61.5 %，16 场,"3.5 KDA
2.9 / 2.4 / 5.5"
27,岩雀,打野,7.4 % ，22 场,12.5 %，37 场,72.7 %，16 场,"3.5 KDA
3.5 / 3.0 / 7.1"
28,符文法师,中单,7.4 % ，22 场,5.7 %，17 场,54.5 %，12 场,"4.1 KDA
3.5 / 2.4 / 6.3"
29,幻翎,辅助,6.7 % ，20 场,6.4 %，19 场,55.0 %，11 场,"4.4 KDA
0.5 / 2.5 / 10.4"
30,暗夜猎手,ADC,6.4 % ，19 场,3.4 %，10 场,36.8 %，7 场,"2.1 KDA
3.3 / 3.3 / 3.6"
31,复仇之矛,ADC,6.1 % ，18 场,5.7 %，17 场,33.3 %，6 场,"2.5 KDA
3.2 / 2.7 / 3.6"
32,赏金猎人,ADC,5.7 % ，17 场,2.4 %，7 场,47.1 %，8 场,"4.6 KDA
3.1 / 1.7 / 4.8"
33,星籁歌姬,中单,5.4 % ，16 场,16.5 %，49 场,31.3 %，5 场,"2.6 KDA
0.9 / 2.3 / 5.0"
34,圣枪游侠,中单,4.7 % ，14 场,16.2 %，48 场,78.6 %，11 场,"4.8 KDA
4.1 / 2.1 / 5.9"
35,荒漠屠夫,中单,4.4 % ，13 场,0.0 %，0 场,84.6 %，11 场,"4.2 KDA
3.0 / 2.7 / 8.3"
36,解脱者,中单,4.0 % ，12 场,4.7 %，14 场,75.0 %，9 场,"10.3 KDA
4.0 / 1.0 / 6.3"
37,酒桶,辅助,15.2 % ，45 场,29.3 %，87 场,55.6 %，25 场,"2.8 KDA
0.9 / 2.9 / 7.3"
38,青钢影,上单,14.8 % ，44 场,41.8 %，124 场,52.3 %，23 场,"3.1 KDA
3.3 / 2.8 / 5.3"
39,亡灵战神,上单,13.8 % ，41 场,7.1 %，21 场,43.9 %，18 场,"3.0 KDA
1.5 / 2.7 / 6.5"
40,卡牌大师,中单,13.5 % ，40 场,44.1 %，131 场,55.0 %，22 场,"4.3 KDA
2.1 / 2.3 / 7.8"
41,狂野女猎手,打野,12.8 % ，38 场,36.4 %，108 场,60.5 %，23 场,"4.4 KDA
3.4 / 2.1 / 5.9"
42,不屈之枪,打野,10.8 % ，32 场,31.6 %，94 场,71.9 %，23 场,"4.3 KDA
4.0 / 2.2 / 5.4"
43,戏命师,ADC,10.8 % ，32 场,2.4 %，7 场,40.6 %，13 场,"4.1 KDA
3.3 / 1.8 / 4.1"
44,山隐之焰,上单,10.8 % ，32 场,14.8 %，44 场,34.4 %，11 场,"2.4 KDA
0.8 / 2.6 / 5.5"
45,深海泰坦,辅助,10.4 % ，31 场,3.0 %，9 场,22.6 %，7 场,"1.6 KDA
0.6 / 4.0 / 5.9"
46,正义巨像,中单,9.8 % ，29 场,13.5 %，40 场,37.9 %，11 场,"3.6 KDA
2.4 / 2.9 / 7.9"
47,腕豪,辅助,9.4 % ，28 场,11.8 %，35 场,53.6 %，15 场,"2.4 KDA
1.2 / 3.8 / 8.0"
48,暴走萝莉,ADC,8.8 % ，26 场,1.3 %，4 场,61.5 %，16 场,"5.9 KDA
4.7 / 1.8 / 5.9"
49,死亡颂唱者,打野,2.7 % ，8 场,1.0 %，3 场,62.5 %，5 场,"2.6 KDA
4.4 / 5.1 / 8.9"
50,腕豪,中单,2.4 % ，7 场,0.0 %，0 场,42.9 %，3 场,"3.1 KDA
2.0 / 3.0 / 7.3"
51,星籁歌姬,辅助,2.4 % ，7 场,8.1 %，24 场,71.4 %，5 场,"5.8 KDA
0.9 / 1.3 / 6.7"
52,英勇投弹手,中单,2.4 % ，7 场,0.3 %，1 场,57.1 %，4 场,"4.8 KDA
4.1 / 1.9 / 5.1"
53,永恒梦魇,中单,2.4 % ，7 场,5.7 %，17 场,71.4 %，5 场,"5.3 KDA
2.7 / 2.4 / 10.0"
54,凛冬之怒,打野,2.4 % ，7 场,1.0 %，3 场,71.4 %，5 场,"5.0 KDA
1.7 / 2.1 / 8.9"
55,刀锋舞者,上单,2.4 % ，7 场,6.4 %，19 场,57.1 %，4 场,"2.7 KDA
3.4 / 3.0 / 4.7"
56,酒桶,打野,2.0 % ，6 场,0.0 %，0 场,83.3 %，5 场,"5.8 KDA
3.3 / 2.0 / 8.3"
57,祖安狂人,打野,2.0 % ，6 场,0.7 %，2 场,33.3 %，2 场,"1.8 KDA
1.3 / 3.2 / 4.3"
58,虚空恐惧,上单,2.0 % ，6 场,0.0 %，0 场,50.0 %，3 场,"1.6 KDA
2.0 / 4.5 / 5.3"
59,机械公敌,上单,1.7 % ，5 场,0.0 %，0 场,60.0 %，3 场,"3.6 KDA
2.6 / 3.2 / 8.8"
60,河流之王,辅助,1.7 % ，5 场,0.0 %，0 场,0.0 %，0 场,"1.4 KDA
0.4 / 3.0 / 3.8"
61,涤魂圣枪,ADC,3.7 % ，11 场,1.3 %，4 场,18.2 %，2 场,"2.3 KDA
1.7 / 3.5 / 6.5"
62,齐天大圣,上单,3.7 % ，11 场,2.4 %，7 场,36.4 %，4 场,"2.1 KDA
2.2 / 3.8 / 5.9"
63,诡术妖姬,中单,3.7 % ，11 场,1.0 %，3 场,27.3 %，3 场,"2.4 KDA
2.6 / 2.4 / 3.2"
64,圣枪游侠,上单,3.4 % ，10 场,5.7 %，17 场,80.0 %，8 场,"3.9 KDA
4.8 / 2.9 / 6.4"
65,圣枪游侠,ADC,3.4 % ，10 场,8.8 %，26 场,20.0 %，2 场,"2.8 KDA
3.0 / 2.3 / 3.4"
66,探险家,ADC,3.4 % ，10 场,1.0 %，3 场,30.0 %，3 场,"3.4 KDA
3.4 / 2.8 / 6.2"
67,机械公敌,中单,3.0 % ，9 场,1.7 %，5 场,33.3 %，3 场,"3.5 KDA
2.7 / 2.4 / 5.7"
68,封魔剑魂,中单,3.0 % ，9 场,5.7 %，17 场,44.4 %，4 场,"2.7 KDA
3.2 / 2.6 / 3.7"
69,惩戒之箭,ADC,3.0 % ，9 场,3.0 %，9 场,77.8 %，7 场,"5.2 KDA
4.1 / 2.3 / 7.9"
70,狂暴之心,上单,3.0 % ，9 场,1.3 %，4 场,11.1 %，1 场,"1.4 KDA
1.7 / 4.8 / 4.9"
71,影流之镰,打野,2.7 % ，8 场,1.0 %，3 场,50.0 %，4 场,"2.5 KDA
2.9 / 2.8 / 4.1"
72,扭曲树精,辅助,2.7 % ，8 场,0.7 %，2 场,50.0 %，4 场,"2.2 KDA
1.0 / 3.5 / 6.8"
73,盲僧,打野,1.7 % ，5 场,0.7 %，2 场,60.0 %，3 场,"6.0 KDA
3.0 / 1.8 / 7.8"
74,不灭狂雷,上单,1.7 % ，5 场,1.0 %，3 场,0.0 %，0 场,"1.5 KDA
1.2 / 2.6 / 2.8"
75,永猎双子,打野,1.7 % ，5 场,2.0 %，6 场,20.0 %，1 场,"2.1 KDA
2.4 / 3.0 / 4.0"
76,熔岩巨兽,上单,1.7 % ，5 场,2.7 %，8 场,0.0 %，0 场,"1.2 KDA
1.2 / 3.6 / 3.2"
77,离群之刺,中单,1.3 % ，4 场,16.8 %，50 场,25.0 %，1 场,"3.3 KDA
2.8 / 2.3 / 4.8"
78,水晶先锋,打野,1.3 % ，4 场,0.7 %，2 场,75.0 %，3 场,"4.7 KDA
2.0 / 2.0 / 7.3"
79,魔蛇之拥,中单,1.3 % ，4 场,2.0 %，6 场,50.0 %，2 场,"3.5 KDA
3.5 / 2.5 / 5.3"
80,麦林炮手,中单,1.3 % ，4 场,0.0 %，0 场,75.0 %，3 场,"4.7 KDA
3.0 / 1.8 / 5.5"
81,武器大师,上单,1.3 % ，4 场,0.0 %，0 场,25.0 %，1 场,"1.2 KDA
1.5 / 3.3 / 2.3"
82,虚空行者,中单,1.3 % ，4 场,0.3 %，1 场,100.0 %，4 场,"13.6 KDA
5.8 / 0.0 / 7.8"
83,腕豪,上单,1.3 % ，4 场,0.0 %，0 场,75.0 %，3 场,"5.9 KDA
3.3 / 1.8 / 7.3"
84,刀锋舞者,中单,1.3 % ，4 场,2.7 %，8 场,25.0 %，1 场,"1.5 KDA
2.8 / 4.5 / 4.0"
85,未来守护者,中单,1.3 % ，4 场,0.0 %，0 场,50.0 %，2 场,"2.9 KDA
3.5 / 3.5 / 6.8"
86,解脱者,上单,1.3 % ，4 场,0.3 %，1 场,50.0 %，2 场,"3.4 KDA
3.5 / 3.0 / 6.8"
87,巨魔之王,打野,1.0 % ，3 场,0.0 %，0 场,33.3 %，1 场,"1.4 KDA
0.3 / 3.7 / 5.0"
88,永恒梦魇,上单,1.0 % ，3 场,0.0 %，0 场,66.7 %，2 场,"5.2 KDA
2.3 / 2.0 / 8.0"
89,德玛西亚之翼,上单,1.0 % ，3 场,1.3 %，4 场,100.0 %，3 场,"7.7 KDA
9.3 / 2.0 / 6.0"
90,战争女神,ADC,1.0 % ，3 场,0.0 %，0 场,0.0 %，0 场,"2.7 KDA
2.3 / 2.7 / 5.0"
91,暴怒骑士,中单,1.0 % ，3 场,1.0 %，3 场,100.0 %，3 场,"5.9 KDA
2.7 / 2.0 / 9.0"
92,星界游神,辅助,1.0 % ，3 场,0.0 %，0 场,66.7 %，2 场,"2.7 KDA
0.3 / 2.7 / 7.0"
93,暮光之眼,辅助,1.0 % ，3 场,0.0 %，0 场,33.3 %，1 场,"1.7 KDA
0.7 / 3.3 / 5.0"
94,天启者,辅助,0.7 % ，2 场,0.0 %，0 场,50.0 %，1 场,"2.9 KDA
0.0 / 3.5 / 10.0"
95,麦林炮手,上单,0.7 % ，2 场,0.0 %，0 场,100.0 %，2 场,"7.7 KDA
7.0 / 1.5 / 4.5"
96,弗雷尔卓德之心,辅助,0.7 % ，2 场,0.3 %，1 场,0.0 %，0 场,"1.8 KDA
0.5 / 3.0 / 5.0"
97,风暴之怒,辅助,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"1.0 KDA
0.0 / 4.0 / 4.0"
98,离群之刺,上单,0.3 % ，1 场,0.0 %，0 场,100.0 %，1 场,"6.0 KDA
8.0 / 2.0 / 4.0"
99,暗夜猎手,上单,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"0.6 KDA
1.0 / 5.0 / 2.0"
100,酒桶,中单,0.3 % ，1 场,0.0 %，0 场,100.0 %，1 场,"11.0 KDA
6.0 / 1.0 / 5.0"
101,亡灵战神,中单,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"2.0 KDA
0.0 / 2.0 / 4.0"
102,德玛西亚皇子,打野,0.3 % ，1 场,0.3 %，1 场,0.0 %，0 场,"1.7 KDA
1.0 / 3.0 / 4.0"
103,暗裔剑魔,打野,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"0.8 KDA
2.0 / 4.0 / 1.0"
104,暗黑元首,上单,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"1.0 KDA
1.0 / 4.0 / 3.0"
105,仙灵女巫,上单,0.3 % ，1 场,0.0 %，0 场,100.0 %，1 场,"2.2 KDA
1.0 / 5.0 / 10.0"
106,复仇之矛,上单,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"0.6 KDA
2.0 / 5.0 / 1.0"
107,荣耀行刑官,ADC,0.3 % ，1 场,0.3 %，1 场,100.0 %，1 场,"4.0 KDA
5.0 / 2.0 / 3.0"
108,时光守护者,中单,0.3 % ，1 场,1.7 %，5 场,0.0 %，0 场,"0.5 KDA
1.0 / 4.0 / 1.0"
109,天启者,中单,0.7 % ，2 场,0.7 %，2 场,50.0 %，1 场,"2.0 KDA
1.5 / 2.0 / 2.5"
110,寒冰射手,ADC,0.7 % ，2 场,0.0 %，0 场,0.0 %，0 场,"1.2 KDA
1.5 / 4.5 / 4.0"
111,皮城女警,ADC,0.7 % ，2 场,0.0 %，0 场,50.0 %，1 场,"2.0 KDA
1.0 / 3.0 / 5.0"
112,天启者,上单,0.7 % ，2 场,0.0 %，0 场,0.0 %，0 场,"1.0 KDA
0.0 / 1.0 / 1.0"
113,德玛西亚皇子,辅助,0.7 % ，2 场,0.3 %，1 场,0.0 %，0 场,"1.4 KDA
1.0 / 5.5 / 6.5"
114,无双剑姬,上单,0.7 % ，2 场,0.3 %，1 场,0.0 %，0 场,"1.4 KDA
2.5 / 2.5 / 1.0"
115,堕落天使,辅助,0.7 % ，2 场,0.3 %，1 场,0.0 %，0 场,"2.8 KDA
0.5 / 3.0 / 8.0"
116,时间刺客,中单,0.7 % ，2 场,0.7 %，2 场,0.0 %，0 场,"4.0 KDA
4.0 / 1.5 / 2.0"
117,万花通灵,中单,0.7 % ，2 场,0.0 %，0 场,100.0 %，2 场,"4.7 KDA
5.5 / 3.5 / 11.0"
118,发条魔灵,上单,0.7 % ，2 场,0.0 %，0 场,50.0 %，1 场,"5.8 KDA
3.0 / 2.0 / 8.5"
119,仙灵女巫,中单,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"1.2 KDA
2.0 / 5.0 / 4.0"
120,武器大师,中单,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"3.5 KDA
4.0 / 2.0 / 3.0"
121,永恒梦魇,打野,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"0.4 KDA
0.0 / 5.0 / 2.0"
122,魔蛇之拥,上单,0.3 % ，1 场,0.0 %，0 场,100.0 %，1 场,"15.0 KDA
6.0 / 1.0 / 9.0"
123,瓦洛兰之盾,辅助,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"1.2 KDA
0.0 / 5.0 / 6.0"
124,暮光之眼,上单,0.3 % ，1 场,0.0 %，0 场,100.0 %，1 场,"16.0 KDA
3.0 / 1.0 / 13.0"
125,不屈之枪,中单,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"4.0 KDA
3.0 / 3.0 / 9.0"
126,虚空遁地兽,打野,0.3 % ，1 场,0.0 %，0 场,0.0 %，0 场,"1.0 KDA
4.0 / 6.0 / 2.0"
127,蜘蛛女皇,打野,0.3 % ，1 场,2.0 %，6 场,100.0 %，1 场,"5.5 KDA
3.0 / 2.0 / 8.0"
